epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.404,0.83419,1.19444,0.96877,0.94161,0.89908,0.95556,0.77499,0.71659,0.69809,0.92552,0.000666089,0.000666089,0.000666089
2,593.312,0.78005,0.66668,0.96659,0.90921,0.90459,0.95681,0.78104,0.73066,0.56314,0.9277,0.00121281,0.00121281,0.00121281
3,890.481,0.7316,0.56734,0.94443,0.92882,0.89191,0.95229,0.79347,0.69164,0.56994,0.92065,0.00163953,0.00163953,0.00163953
4,1188.75,0.70687,0.5295,0.92998,0.93233,0.92746,0.97216,0.84114,0.59411,0.4458,0.87837,0.00146,0.00146,0.00146
5,2236.73,0.64458,0.47185,0.90523,0.94903,0.93452,0.97572,0.85024,0.55984,0.40861,0.8679,0.00128,0.00128,0.00128
6,2518.89,0.60091,0.4257,0.89156,0.95912,0.94429,0.98153,0.85884,0.56445,0.3869,0.8652,0.0011,0.0011,0.0011
7,2805.06,0.57108,0.39726,0.87979,0.9643,0.95161,0.98586,0.88509,0.48712,0.33554,0.84724,0.00092,0.00092,0.00092
8,3089.07,0.54142,0.3735,0.86868,0.95746,0.95511,0.98666,0.88912,0.47129,0.32268,0.84125,0.00074,0.00074,0.00074
9,3373.58,0.51545,0.34837,0.86243,0.96841,0.95281,0.98796,0.8943,0.46151,0.30922,0.83621,0.00056,0.00056,0.00056
10,3659.18,0.48894,0.32424,0.85422,0.96768,0.96239,0.99007,0.9137,0.42693,0.2845,0.82668,0.00038,0.00038,0.00038
11,3943.61,0.46331,0.30239,0.84168,0.97112,0.96412,0.99089,0.92422,0.397,0.26081,0.82127,0.0002,0.0002,0.0002
