epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.463,0.87653,1.24503,0.99514,0.91635,0.89199,0.9536,0.76772,0.77576,0.66868,0.95046,0.000666419,0.000666419,0.000666419
2,755.005,0.85298,0.75048,0.98714,0.93423,0.91628,0.96367,0.80134,0.68116,0.54697,0.9182,0.00129051,0.00129051,0.00129051
3,1816.76,0.82433,0.67639,0.97608,0.94079,0.92567,0.96958,0.81307,0.64654,0.48603,0.89709,0.00187203,0.00187203,0.00187203
4,2182.66,0.80928,0.66638,0.96903,0.93676,0.92339,0.97126,0.82609,0.6398,0.48266,0.8944,0.00180839,0.00180839,0.00180839
5,2556.18,0.7622,0.59882,0.95248,0.94225,0.93365,0.97323,0.83691,0.5805,0.43399,0.87635,0.00174452,0.00174452,0.00174452
6,2937.18,0.7227,0.55587,0.93861,0.95019,0.9385,0.9785,0.85404,0.57493,0.40203,0.87539,0.00168065,0.00168065,0.00168065
7,3310.7,0.70915,0.54673,0.935,0.94265,0.94998,0.98137,0.86413,0.53412,0.40436,0.86705,0.00161677,0.00161677,0.00161677
8,3684.05,0.68364,0.51569,0.92282,0.95788,0.94232,0.98302,0.86972,0.52668,0.37291,0.85925,0.0015529,0.0015529,0.0015529
9,4056.96,0.67327,0.50163,0.925,0.95843,0.9493,0.9834,0.87175,0.52565,0.36207,0.85543,0.00148903,0.00148903,0.00148903
10,4430.38,0.65027,0.47981,0.90965,0.95922,0.94874,0.98504,0.88761,0.48907,0.33974,0.8484,0.00142516,0.00142516,0.00142516
11,4802.85,0.64252,0.46804,0.90914,0.95802,0.95522,0.98673,0.89756,0.46407,0.32622,0.84298,0.00136129,0.00136129,0.00136129
12,5175.67,0.62186,0.46348,0.90121,0.95142,0.95448,0.98506,0.89504,0.46173,0.34101,0.84204,0.00129742,0.00129742,0.00129742
13,5548.33,0.60739,0.44792,0.8956,0.96429,0.9531,0.9876,0.89883,0.46626,0.32407,0.84143,0.00123355,0.00123355,0.00123355
